id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2722779155,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-09-20T17:21:00.068Z,2024-09-23T13:38:05Z,5224513891,197,25069,5224513885,130,8,5224513881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224513883,59,"24, 22, 12, 6, 26, 4, 19, 8, 7, 11, 17, 1, 9, 33, 10, 14, 15, 18, 25, 23",5224513889,194,anghujtc4achyb9mflowgg9n9,5224513887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224513879,30,"6bejfvxorcqyawi2fmk2kbco9, 1dg7whnmk3nb1adw7n8a7nnbp, ehmzgi988h8g6rgekp3qivkr9, agdmqurwrf5k6izewj4voxcdl, 4wxqckb43bkeobwanys62zvmd, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, cij18xj0bx2zyx3mi9xwykn9x, 27oce8op8b7a6fmyp8utoz5gq, 1cfhmihovl78l8osqbo1w9nth, dm9vc2mqtbb982sx6kkd992ax, 6xrzl8rljlz8zmlaj69qqktlh, 5ibsbj2zqv62c94k5wijnayy2, 69nz7p1izpw4i8tle2c8hls2y, 9n2d2dv38kp2exb7z3xh2ykiy, 3c80px00lrpe84s9yurszqcid, 6ypmyozp8zmq4tk36n49oz5xx, 7np6c6939ms55m37juqvw0oa, 1n48nxf4v6reoxuyai88haw6i, 7b1wnybwn288obuc03bea8962",5224513893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779417,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-09-20T17:21:35.114Z,2024-09-20T17:21:35Z,5224515369,59,"1, 16, 3, 5, 4, 15, 23, 8, 9, 7, 10, 35, 2, 6, 14, 33, 19, 11, 20, 17",5224515367,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224515377,197,8381,5224515379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224515373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224515375,194,amg2zai9038cdz9uuql3l9rkl,5224515371,130,8,5224515365,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 3ws5zg8wy6j86cr8yrqxnsx9m, cs8bo5xvtd2bq7kd91flepwwl, 9cjjs4piq3t12iltsfon52h91, cnq88jph2nrn0o2tosrp4rmxh, 1vpy4utdaxo6zs2enj4tphejt, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, brppytuf1766c50274dkue5pm, dzfr9ktjmxqj2eh2xibt7konp, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, dw2a5y50m5vbzpy53w2e7n179, 6f8lpm5ckuv4z0tbur533qpxx, b3i5okqaspq6w7w456ab4cxjp, 321yjdo3gio1l33hc1pdps4wl, 5ye5h1o9ndhfeqdi8mh4f9une, cpvbitkove7bavl96lkgs1vc9, 9jitxfwaeix5fn1n3dhartbhm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801477,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-09-20T18:00:21.316Z,2024-09-23T12:56:57Z,5224634615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801483,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-09-20T18:00:21.316Z,2024-09-20T18:00:23Z,5224634663,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801517,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50.1,50,2024-09-20T18:00:21.317Z,2024-09-20T18:00:24Z,5224634821,279,S,5224634811,56,Back,5224634815,141,60.5,5224634819,213,2.62,5224634813,140,38.4,5224634817,212,14.2,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801563,4,1,1,0,3,spi3g782q7m4evjxn1sv6cfa,1,38.4,60.5,2024-09-20T18:00:24.606Z,2024-09-20T18:00:29Z,5224635067,212,21.2,5224635063,140,28.6,5224635069,213,4.20,5224635061,56,Back,5224635065,141,33.3,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801581,5,1,1,0,7,spi3g782q7m4evjxn1sv6cfa,1,28.6,33.3,2024-09-20T18:00:28.976Z,2024-09-20T18:00:30Z,5224635143,212,21.5,5224635139,140,39.4,5224635145,213,5.27,5224635141,141,6.4,5224635137,56,Back,,,,,,,,,,4wxqckb43bkeobwanys62zvmd,K. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801671,6,1,1,0,9,spi3g782q7m4evjxn1sv6cfa,1,42.5,6.8,2024-09-20T18:00:30.706Z,2024-09-20T18:00:39Z,5224635555,212,27.5,5224635551,140,67.1,5224635549,56,Right,5224635553,141,20.7,5224635557,213,0.35,,,,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801697,7,1,1,0,16,spi3g782q7m4evjxn1sv6cfa,1,91.9,5.5,2024-09-20T18:00:37.896Z,2024-09-20T18:04:56Z,5224635687,141,15.8,5224635683,56,Right,5224635689,212,9.3,5224635691,213,2.29,5224635685,140,86.1,,,,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722801665,3,83,1,0,17,8l30dsub3sutr6j3ruvk650xc,0,11,83.8,2024-09-20T18:00:38.400Z,2024-09-20T18:04:58Z,5224635771,399,2m6wew2746q1xsoio3703t8t1,,,,,,,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
