id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2769439475,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2025-01-26T18:00:34.130Z,2025-01-26T18:00:34Z,5478479029,30,"8btgs1e799s3xyjfqloeg2iju, 13up673x1kzlwwi22awilagvd, 8e7wbpcbwxvdz0fojwuyov3rp, dqpv2janh4g4qkiqx7h7vs8gl, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 8gh56ar8x8yxjfcm66m7532ll, enh0z58rrftq2m6hybzhgf65l, brs6i21j86k1w7cpgzorrxxwp, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 8ll4dyc6p81nlfz81v8nz3m96, 3u2e56fhs12qok7truspt65zp, acubyto4nolysndygirwjwhzo, a6nt0vn3kgt05g1hdnubrh0yc, 1ry82n1adajgmjtce487u9q1g, ct4fyrkcvk3i01xiz1wpsyuw9, 1234a1tb7y6trj9xsoqvx0x5h",5478479043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478479033,59,"91, 14, 3, 17, 4, 21, 15, 20, 19, 7, 11, 39, 5, 2, 13, 8, 9, 28",5478479035,130,8,5478479037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5478479031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5478479041,197,8474,5478479039,194,9t8eb24gwj56ucggp7x0n0ewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769445937,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-01-26T18:10:28.984Z,2025-01-26T19:01:53Z,5478513893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478513895,194,5t9mthxv6kthq6tnntv5q4fdh,5478513889,59,"32, 27, 19, 3, 5, 2, 6, 10, 9, 21, 20, 28, 8, 12, 16, 17, 18, 22, 59, 52",5478513887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5478513885,30,"el8c138wsa0bnop68caop5uxh, 8jcspom7vgzuzen8yw4php711, dedol1cdecfmywapqdnndxucp, 8lf62k2iwmb23gywex08s6m09, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5t9mthxv6kthq6tnntv5q4fdh, 2hkkfeyzmu2pkqgjw3bpl7cnp, c705ailfiov40xwoysz0ggct1, 5zscs0qkg39k01a2n0qu9tvkk, 9t2pn6dp6w38b169a5qo9c60a, 4uest450f12ikgunglu92j0tl, 52w10pe7mkfv4twb2p2c5ugnp, 4vik7uie18zrie8cqb5pqlpzp, dld1dfaxrkcje24pmw72odzpw, 7273nb8va4nhiathm3qpatii1, af3x1ptiil8vti00lxf1x8ewa, af52uy5fmw1y9o4eq1sststex, 4payujvwgv750r4y1eeprn1g4, f12ftkhqvzr8htxk3eoj0rj84",5478513899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478513897,197,24727,5478513891,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464713,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2025-01-26T18:45:25.124Z,2025-01-26T21:21:15Z,5478620003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464729,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-01-26T18:45:25.124Z,2025-01-26T18:45:25Z,5478620119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464739,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50,50,2025-01-26T18:45:25.427Z,2025-01-26T18:45:26Z,5478620175,213,3.04,5478620173,212,22.7,5478620167,56,Back,5478620169,140,28.5,5478620171,141,53.4,5478620177,279,S,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464789,4,1,1,0,2,axwnneoekq2f2yq6r1l704y96,0,29.1,53,2025-01-26T18:45:27.756Z,2025-01-26T18:45:31Z,5478620489,213,0.63,5478620487,212,56.2,5478620481,140,72.3,5478620477,157,,5478620479,56,Left,5478620485,141,100.0,5478620491,1,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464811,3,5,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,1,25.2,-1.8,2025-01-26T18:45:31.380Z,2025-01-26T18:45:35Z,5478620565,347,,5478620583,233,5,5478620563,56,Back,,,,,,,,,,,,,,,,8jcspom7vgzuzen8yw4php711,R. McLauchlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769464795,5,5,1,0,6,axwnneoekq2f2yq6r1l704y96,0,74.8,101.8,2025-01-26T18:45:31.380Z,2025-01-26T22:36:33Z,5478620509,56,Left,5478620593,233,3,5478620511,347,,,,,,,,,,,,,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769465021,4,1,1,0,23,dcdnoyf6kzhj46iyfm7xq43fy,1,26.2,0,2025-01-26T18:45:48.956Z,2025-01-26T18:45:51Z,5478621789,140,26.5,5478621787,56,Back,5478621793,212,10.5,5478621795,213,1.54,5478621791,141,13.8,5478621785,107,,,,,,,,8jcspom7vgzuzen8yw4php711,R. McLauchlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769465033,5,1,1,0,25,dcdnoyf6kzhj46iyfm7xq43fy,1,27.3,14.3,2025-01-26T18:45:50.739Z,2025-01-26T19:00:13Z,5478621867,56,Back,5478663915,156,,5478621869,140,24.1,5478621879,213,3.86,5478621871,141,10.0,5478621875,212,4.5,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
