id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2746896305,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-11-10T14:16:25.184Z,2024-11-10T15:17:48Z,5356165165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356165159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356165151,30,"dxojafbkfxjskl0ek4nucrnpx, 7oxif0j9hg9lpvrmqj8ocdnmd, f1xb9y38jfjmrhgv22svv9sa2, e3n8fh86gv7xkw2zi6jlqelzp, cs3pg64kurip4uftscemh01k9, 30pcgn07mnn0sk4jp0t7bx9ed, 628hrbjq5whml5fixspdqvd62, bnzgfrgoiwlw6boq7e7ngi162, a5ew0j9hz4ounrjkeco7g6iuh, 81w3pjqsk98f0l09d9ianrbah, e93vn46w6kk9xwdb8forgzil1, czz8zqjv03gdbbxiadp90pq6t, dfodeak21qhzgxr7qs85f3vf9, 8t1kb3jiu25l2ztaooa294e09, 9ov9x5gap2t34kv8clhwjqvh1, cannlc91eqjjy24i7keyvyaui, q3xvi1pbz5hmr6zw6np6v4yd, 54hjbtj3pm6a4qruhfsz6z3zd, cqfxdqu4j8ws6ejoklc7ahz6y, 2zatof747jxpl4fl2ifie47pw",5356165153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5356165157,130,21,5356165163,197,5223,5356165161,194,e3n8fh86gv7xkw2zi6jlqelzp,5356165155,59,"1, 26, 18, 22, 5, 14, 11, 4, 9, 77, 20, 25, 2, 7, 10, 12, 17, 21, 33, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746910707,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2024-11-10T14:25:13.709Z,2024-11-10T14:56:46Z,5356243681,194,15ueea8j21zale5d23rifkct1,5356243683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356243665,30,"avud4qv9xovwlr2pxc8fcmiuh, ceww6vauxaqddgogso515rcru, 4r1z04gidueqs684yxeyrq8ve, 60q198d41n3y887jeiezr850q, d3qtg5xhiwe3zamb4mh50whjp, 4u9olqnk9orietagu35v6s355, 7f7tbbjqhhyydjj4wurm28xcl, 7p90xt2oakctnbc9a0bgbjpw5, 15ueea8j21zale5d23rifkct1, 38gaf1qjazayc2lo9wvly9tzo, 1ct6g590mpcg14jw94v4g2tm2, 6k1s7y9dnzdpppppdco7bgudx, 5mcszf3yuxwxcggl8ds2v1a7d, cf88cbpwlbfw6ampeklh3kcbu, 9ww7juyjcdpja51ov7t9hnf1l, 8o43d3brdt33k5s01cja64s9g, 3hi3jauxk9i5k94dniki04mei, 3322apmmg9crui9646d4cbm5l, biicxjnvr3ykz9ndeg6m7ryfo, 9hgyk9yij7batwf9gf6l0jxuc",5356374421,197,25096,5356243669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5356243679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356243677,130,8,5356243673,59,"1, 12, 2, 30, 5, 22, 21, 29, 11, 28, 20, 4, 17, 31, 6, 55, 18, 7, 39, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962053,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-11-10T15:01:59.830Z,2024-11-10T15:02:02Z,5356525271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962045,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2024-11-10T15:01:59.830Z,2024-11-10T15:01:59Z,5356525237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962099,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50,50,2024-11-10T15:01:59.831Z,2024-11-10T15:02:03Z,5356525555,141,41.6,5356525569,279,S,5356525549,56,Back,5356525551,140,22.8,5356525559,212,29.1,5356525565,213,3.34,,,,,,,7f7tbbjqhhyydjj4wurm28xcl,H. Cain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962117,4,1,1,0,3,28u3q82ip96ahymkup01vfxli,1,22.8,41.6,2024-11-10T15:02:02.903Z,2024-11-10T15:02:04Z,5356525677,56,Back,5356525685,213,1.63,5356525679,140,22.1,5356525683,212,12.3,5356525681,141,59.6,,,,,,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962137,5,1,1,0,4,28u3q82ip96ahymkup01vfxli,1,22,66.3,2024-11-10T15:02:04.711Z,2024-11-10T15:02:06Z,5356525785,141,86.2,5356525781,56,Back,5356525789,213,1.26,5356525787,212,14.2,5356525783,140,26.1,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962157,6,1,1,0,6,28u3q82ip96ahymkup01vfxli,1,26,86.3,2024-11-10T15:02:06.519Z,2024-11-10T15:02:07Z,5356525899,141,80.2,5356525901,212,6.6,5356525903,213,5.60,5356525895,56,Back,5356525897,140,30.9,,,,,,,,,,4r1z04gidueqs684yxeyrq8ve,C. Nevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962179,7,1,1,0,7,28u3q82ip96ahymkup01vfxli,1,35.1,76,2024-11-10T15:02:07.783Z,2024-11-10T15:02:09Z,5356526039,212,12.7,5356526037,141,87.1,5356526033,56,Back,5356526041,213,2.50,5356526035,140,25.4,,,,,,,,,,60q198d41n3y887jeiezr850q,R. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962223,8,1,1,0,9,28u3q82ip96ahymkup01vfxli,1,25.3,87.1,2024-11-10T15:02:09.255Z,2024-11-10T15:02:11Z,5356526311,56,Back,5356526319,213,4.34,5356526317,212,11.4,5356526315,141,71.5,5356526313,140,21.4,,,,,,,,,,4r1z04gidueqs684yxeyrq8ve,C. Nevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962293,9,1,1,0,11,28u3q82ip96ahymkup01vfxli,1,15.6,73,2024-11-10T15:02:11.815Z,2024-11-10T15:02:16Z,5356526689,213,4.77,5356526681,56,Back,5356526683,140,16.9,5356526685,141,37.7,5356526687,212,24.0,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962365,10,1,1,0,16,28u3q82ip96ahymkup01vfxli,1,19.9,37,2024-11-10T15:02:16.279Z,2024-11-10T15:02:21Z,5356527133,140,16.7,5356527137,212,23.2,5356527135,141,70.8,5356527131,56,Back,5356527139,213,1.72,,,,,,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962487,11,1,1,0,21,28u3q82ip96ahymkup01vfxli,1,25.9,75.6,2024-11-10T15:02:21.351Z,2024-11-10T15:02:29Z,5356527805,213,0.63,5356527801,141,93.2,5356527799,140,41.6,5356527803,212,20.4,5356527797,56,Back,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962491,12,61,1,0,27,28u3q82ip96ahymkup01vfxli,0,43.2,93.9,2024-11-10T15:02:26.904Z,2024-11-10T15:32:01Z,5356527813,56,Back,,,,,,,,,,,,,,,,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962471,3,3,1,0,27,cz26xwowfjp8ei14n9z2ac135,0,41.1,10.7,2024-11-10T15:02:27.765Z,2024-11-10T15:02:28Z,5356527709,56,Back,5356527779,211,,5356527713,286,,,,,,,,,,,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962503,4,5,1,0,29,cz26xwowfjp8ei14n9z2ac135,0,44.3,-1.8,2024-11-10T15:02:29.443Z,2024-11-10T15:05:26Z,5356528161,233,13,5356527835,347,,5356527833,56,Back,,,,,,,,,,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962549,13,5,1,0,29,28u3q82ip96ahymkup01vfxli,1,55.7,101.8,2024-11-10T15:02:29.443Z,2024-11-10T15:05:25Z,5356528095,347,,5356528093,56,Left,5356528151,233,4,,,,,,,,,,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962715,14,1,1,0,40,28u3q82ip96ahymkup01vfxli,1,56.9,100,2024-11-10T15:02:40.535Z,2024-11-10T15:02:42Z,5356528975,212,20.5,5356528971,140,72.9,5356528969,56,Left,5356528967,107,,5356528977,213,5.68,5356528973,141,84.8,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962801,16,1,1,0,41,28u3q82ip96ahymkup01vfxli,0,67.3,94.8,2024-11-10T15:02:41.383Z,2024-11-10T15:05:09Z,5356529551,213,6.13,5356529549,212,9.1,5356529541,3,,5356529543,56,Left,5356529545,140,75.9,5356529547,141,92.7,,,,,,,38gaf1qjazayc2lo9wvly9tzo,S. Chossenotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962725,15,61,1,0,41,28u3q82ip96ahymkup01vfxli,1,72.9,84.8,2024-11-10T15:02:41.735Z,2024-11-10T15:02:59Z,5356529027,56,Left,,,,,,,,,,,,,,,,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962757,5,1,1,0,43,cz26xwowfjp8ei14n9z2ac135,0,27.5,22.2,2024-11-10T15:02:43.491Z,2024-11-10T15:02:46Z,5356529263,213,5.45,5356529261,212,21.3,5356529255,56,Back,5356529259,141,0.0,5356529265,1,,5356529253,157,,5356529257,140,41.2,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962763,6,5,1,0,46,cz26xwowfjp8ei14n9z2ac135,0,42.6,-1.2,2024-11-10T15:02:46.066Z,2024-11-10T15:12:55Z,5356529287,347,,5356529285,56,Back,5356546579,233,17,,,,,,,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962915,17,5,1,0,46,28u3q82ip96ahymkup01vfxli,1,57.4,101.2,2024-11-10T15:02:46.066Z,2024-11-10T15:12:54Z,5356530213,56,Left,5356546555,233,6,5356530215,347,,,,,,,,,,,,,,,,,38gaf1qjazayc2lo9wvly9tzo,S. Chossenotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962951,18,1,1,1,0,28u3q82ip96ahymkup01vfxli,1,51.8,100,2024-11-10T15:02:59.864Z,2024-11-10T15:03:03Z,5356530419,212,15.7,5356530421,213,5.92,5356530411,107,,5356530417,141,92.6,5356530415,140,65.8,5356530413,56,Left,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962949,7,83,1,1,3,cz26xwowfjp8ei14n9z2ac135,0,45.1,16.8,2024-11-10T15:03:03.124Z,2024-11-10T15:03:06Z,5356530631,399,1ct6g590mpcg14jw94v4g2tm2,,,,,,,,,,,,,,,,,,,,,,628hrbjq5whml5fixspdqvd62,M. Paví,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962975,19,1,1,1,3,28u3q82ip96ahymkup01vfxli,1,65.8,92.6,2024-11-10T15:03:03.239Z,2024-11-10T15:03:05Z,5356530549,56,Back,5356530551,140,46.2,5356530553,141,95.7,5356530555,212,20.7,5356530557,213,3.04,,,,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962983,20,1,1,1,5,28u3q82ip96ahymkup01vfxli,1,45.8,93,2024-11-10T15:03:05.672Z,2024-11-10T15:03:09Z,5356530605,141,65.4,5356530601,56,Back,5356530609,213,4.87,5356530603,140,48.7,5356530607,212,19.0,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
