Player,Team,Minutes
13qp3h155vacydpb3nofof76c,Eibar,92.0
15neyz0q98occug2s5irz9yj8,Deportivo La Coruña,6.0
1b7vrqk6erhivegpe784op3is,Levante,66.0
1jjfj4cr50dlr3c1zo540yove,Levante,45.0
1jo8a6a73fa2ajznmsg1jxoq2,Alhama,86.0
1lvwjd2sedbk3gs9p2v34cdt5,Real Sociedad,163.0
1lybuapncprmnqk70r7lxy4mh,Granada,94.0
1mi8aqyvrcv1vsac2nqqq1yc4,Deportivo La Coruña,148.0
1nhju64j5loikn6t0j9m6au39,Granada,9.0
1onayabdcirreh4inx4usrbbo,Alhama,4.0
1r935k5rouppt9i35uf5lrzmc,Deportivo La Coruña,84.0
1sdx13lrg6hgd0fvxo5gfysyc,Deportivo La Coruña,143.0
1tusdkqm6v4khzekbrp2jfnqh,Real Madrid,119.0
1z29kbiufzx7u32mh1fvy1rs9,Real Sociedad,81.0
20nehty0pfzlg8wj60l87taeh,Real Madrid,45.0
24dpnyyhqgnve5zzget4gz1zp,Atlético Madrid,24.0
24fopza4zrtm63pyjkl55beac,Madrid,91.0
24i5v2hlbeen8brcaa79oqjft,Real Madrid,151.0
25zkvtyrfqnw2zyp43aqy8ne2,Sevilla,127.0
275mx4vdujpyfdk5sx7iog3kk,Real Madrid,57.0
293y2r9th3zox13comwm05vdg,Espanyol,128.0
2a76iw4bpv8ppfhuc859cweeh,Deportivo La Coruña,77.0
2ac25gja4xuyp8xqe2uvdslqs,Atlético Madrid,24.0
2dn8sb8g4ced7wbpmd0nfd53o,Levante,45.0
2fg7mgljmrqedc61uiff36ytx,Real Madrid,33.0
2j37sn6v53zhgz2hf1q33gzdg,Athletic Club,1.0
2pwqqz20m5zoxmafss9hinvo4,Tenerife,171.0
31q50ese977zfgiwi9bc1ehre,Badalona,69.0
32jsd9lm9bbl6timfs6zwywpg,Sevilla,45.0
33nggo6w6e52yqmc2pa528xd5,Sevilla,80.0
34mdb6tgwz7ud3wm7m1auyqui,Granada,66.0
3d5z6d353m69jb2dsiobz2eqc,Real Madrid,16.0
3ddo1m631pf9ruzzpaujs9gph,Real Madrid,63.0
3iangrthyltpl31m4v1qkgn2t,Madrid,89.0
3mgkmvazmdqvhtnkkigc24e3u,Alhama,78.0
3nmk8e4y0vu8ov2whpdannnkk,Athletic Club,45.0
3qhxiurqslqt6d1rqjgbr47is,Levante,45.0
3rob14yal0zrzxj2tdpp4sewa,Tenerife,160.0
3uj4zixqbp5ahu9etu4fl714a,Badalona,83.0
3z28s1hxotsotff4nxy2bts0k,Espanyol,84.0
407696aey55f3v0iy9xcr9plh,Real Madrid,27.0
40wxai4gm0pdry6545i5c68ve,Barcelona,67.0
44j03m9xpbhjuxmqz6vge9y0a,Levante,87.0
470uu9issmbdfyhxjq75gdbs9,Barcelona,35.0
470znxtt0sf52aav1o8s1hkdm,Tenerife,16.0
47wzwvf5ksv7kdivj9ra96l0p,Madrid,71.0
4a99aji2n5ff9ep2b0foqquc4,Athletic Club,15.0
4fybg79m5egtyphmyhkbbd2qc,Deportivo La Coruña,37.0
4ihrb3uj478vlzrbh94jj1i3t,Barcelona,55.0
4kqwr8xb2ydw2v32thgb5sk5w,Tenerife,9.0
4nvfy4deuo9cmsegz492aq2g9,Atlético Madrid,72.0
4pavtall24hy4jle51p1lqkbu,Sevilla,59.0
4trjsb4uoasjj3jwr77rh0k16,Real Madrid,57.0
4ugc78y1gi2xet806zx036uei,Espanyol,41.0
5adluw93r1tx4n3ta3wyhj7bp,Atlético Madrid,157.0
5axvazbhm6wsgpbpgt1gmaj11,Sevilla,76.0
5bqaqivhq29bsxz7qc2mwsp3o,Athletic Club,75.0
5bxb8ecvhvo7mt31ixelzpjis,Sevilla,52.0
