playerName,Team,ActualDisruptions,ExpectedDisruptions
A. Béché,Strasbourg,6,3.84
A. Chaney,Strasbourg,0,1.131
A. Claire,Fleury 91,0,0.002
A. Cometti,Fleury 91,3,0.098
A. Connesson,Saint-Étienne,4,0.714
A. Ebayilin,PSG,1,0.012
A. Felden,Montpellier,1,1.001
A. Fontaine,Dijon,0,0.14400000000000002
A. Gajić,Saint-Étienne,1,0.372
A. Gbedjissi,Lens,2,0.44100000000000006
A. Hegerberg,OL Lyonnes,4,0.648
A. Lawrence,OL Lyonnes,2,3.15
A. Le Moguédec,Paris FC,4,0.5980000000000001
A. Pierre-Louis,Saint-Étienne,0,0.018000000000000002
A. Pinguet,Saint-Étienne,0,0.166
A. Traoré,Fleury 91,3,1.207
A. Yeboah,Strasbourg,1,0.007
B. Joly,Lens,0,0.0
Bruna Lourenço,Strasbourg,4,1.045
C. Bertrand,Lens,1,0.096
C. Blanc,Montpellier,6,0.498
C. Boisard,Le Havre,8,0.21
C. Caputo,Fleury 91,0,0.0
C. Chabod,Montpellier,0,0.032
C. Cosme,Nantes,3,0.864
C. Dunn,PSG,0,0.14
C. Effa Effa,Le Havre,0,0.882
C. Endler,OL Lyonnes,0,0.052000000000000005
C. Fernandes,Fleury 91,2,0.5760000000000001
C. Gavory,Le Havre,4,0.39
C. Matéo,Paris FC,1,1.656
C. Meffometou,Fleury 91,3,0.372
C. N'Gazi,Olympique Marseille,0,0.146
C. Ndzana,Dijon,11,0.728
C. Ould Hocine,Paris FC,7,1.296
C. Picaud,Fleury 91,1,0.0
C. Robillard,Nantes,1,0.036000000000000004
C. Tapia,Saint-Étienne,1,0.462
D. Bien-Aimé,Saint-Étienne,0,0.015
D. Corboz,Paris FC,8,0.72
D. Davis,Paris FC,4,0.402
D. Pierre-Louis,Lens,7,0.924
E. Aigbogun,Strasbourg,3,0.728
E. Burns,Nantes,0,0.129
E. Gaetino,PSG,3,0.868
E. Kamczyk,Fleury 91,3,0.10400000000000001
E. Laurent,Fleury 91,1,0.5760000000000001
E. Palis,Montpellier,1,0.492
E. Paljevic,Nantes,0,0.756
E. Siren,Dijon,11,1.8239999999999998
F. Bataillard,Saint-Étienne,3,0.23500000000000001
F. Jourde,PSG,0,0.5640000000000001
F. Proniez,Lens,4,1.2420000000000002
Fátima Pinto,Strasbourg,2,2.232
G. Grzybowska,Dijon,0,0.0
G. Mbock,PSG,3,0.595
H. Diaz,Fleury 91,1,0.27
I. Adjabi,Le Havre,2,0.6489999999999999
I. Benyahia,OL Lyonnes,0,0.011
I. Engen,OL Lyonnes,1,2.025
I. Kbida,Olympique Marseille,1,0.039
I. Konan,Strasbourg,1,1.008
I. Kristoffersen,Saint-Étienne,2,0.312
I. Saoud,Nantes,1,0.12
Izarne Sarasola,Nantes,3,0.8
J. Brand,OL Lyonnes,3,0.648
J. Brown,Olympique Marseille,1,0.084
J. Coquet,Montpellier,4,0.58
J. Denizot,Dijon,0,0.005
