Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Andrews,Sheffield United WFC,2,0.11,0.11,0.0
A. Goddard,Southampton FC Women,1,0.4,0.0,0.4
A. Primus,Southampton FC Women,2,0.4,0.36,0.04
E. Brazil,Southampton FC Women,1,0.05,0.05,0.0
E. Butler,Sheffield United WFC,1,0.04,0.04,0.0
E. Kinzett,Sheffield United WFC,1,0.07,0.0,0.07
E. Scarr,Sunderland WFC,2,0.46,0.46,0.0
E. Taylor,Sheffield United WFC,1,0.07,0.0,0.07
I. Atkinson,Sunderland WFC,2,0.16,0.16,0.0
J. Dear,Ipswich Town FC Women,1,0.08,0.0,0.08
J. Reavill,Sheffield United WFC,1,0.07,0.0,0.07
J. Simpson,Southampton FC Women,1,0.09,0.09,0.0
K. Kitching,Sunderland WFC,1,0.09,0.09,0.0
L. Griffiths,Sunderland WFC,1,0.05,0.05,0.0
L. Mitchell,Ipswich Town FC Women,2,0.08,0.03,0.05
M. Bashford,Southampton FC Women,3,0.96,0.1,0.85
M. Boswell,Ipswich Town FC Women,1,0.08,0.0,0.08
M. McAlonie,Southampton FC Women,1,0.07,0.07,0.0
M. Sheva,Sunderland WFC,1,0.07,0.0,0.07
N. Thomas,Ipswich Town FC Women,3,0.15,0.1,0.05
P. Peake,Ipswich Town FC Women,1,0.03,0.03,0.0
R. Dean,Ipswich Town FC Women,1,0.04,0.04,0.0
R. Roberts,Sunderland WFC,1,0.07,0.0,0.07
R. Tucker,Southampton FC Women,1,0.07,0.07,0.0
S. Peskett,Ipswich Town FC Women,1,0.05,0.0,0.05
T. Bourne,Southampton FC Women,1,0.03,0.0,0.03
