playerName,Team,ActualDisruptions,ExpectedDisruptions
A. Altena,Heerenveen,9,2.7550000000000003
A. Andradóttir,Twente,4,2.697
A. Chibani,PSV,8,1.104
A. Eloualidi,AZ,0,0.012
A. Gelevert,Twente,1,0.13
A. Knol,Twente,2,1.6900000000000002
A. Nassette,Heerenveen,8,1.7680000000000002
A. Takeshige,Feyenoord,2,0.123
A. Tuin,Twente,1,4.05
A. Verspaget,Feyenoord,0,0.0
A. Weerelts,Utrecht,9,0.84
A. van Egmond,ADO Den Haag,9,3.8220000000000005
A. van der Klooster,Excelsior,2,0.856
A. van der Vlist,Excelsior,7,0.869
B. Franken,NAC Breda,1,2.112
B. Lorsheijd,ADO Den Haag,0,0.852
B. Udink,Heerenveen,1,0.096
B. Vermeer,Heerenveen,3,0.322
B. Vonk,ADO Den Haag,14,5.13
B. van Egmond,Ajax,1,11.584
C. Homan,Excelsior,14,2.576
C. Ishida,PEC Zwolle,12,2.7
C. Kira,HERA United,8,0.99
C. Mol,AZ,10,10.387
C. Obispo,Feyenoord,3,1.576
C. Pijnacker Hordijk,ADO Den Haag,2,0.092
C. Promes,NAC Breda,1,0.022
C. Ripa,PSV,4,12.483
D. Boussatta,ADO Den Haag,3,0.0
D. Cherif,Excelsior,12,1.36
D. Haizoun,Excelsior,2,0.384
D. Lemey,Twente,0,0.34500000000000003
D. Lont,Feyenoord,0,0.01
D. Noordermeer,Ajax,5,8.112
D. Noordman,Ajax,16,8.36
D. Tolhoek,Ajax,2,2.3920000000000003
D. de Klonia,Ajax,12,5.88
D. de Ridder,AZ,2,0.93
D. den Turk,Ajax,0,0.112
D. van Ginkel,Twente,3,1.001
D. van Lunteren,AZ,3,2.42
D. van Straten,Utrecht,2,0.46199999999999997
E. Daalman,HERA United,2,1.288
E. Fertoute,NAC Breda,1,0.28200000000000003
E. Frijns,PSV,4,1.6640000000000001
E. Henschen,PSV,2,5.136
E. Kerkhof,Heerenveen,6,1.9949999999999999
E. Maass,Heerenveen,4,1.035
E. Maatman,Heerenveen,1,0.6030000000000001
E. Oude Elberink,Twente,2,0.198
E. Pijnenburg,Feyenoord,0,0.017
E. Smits,Heerenveen,4,0.76
E. Van Kerkhoven,Feyenoord,0,0.59
E. Yetim,NAC Breda,0,0.23
E. de Graaf,Feyenoord,2,0.792
E. van Deursen,Feyenoord,8,2.641
E. van Vilsteren,Heerenveen,6,4.32
E. van der Vliet,NAC Breda,7,2.496
F. Bastiaen,Utrecht,0,0.852
F. Bol,ADO Den Haag,4,2.222
F. Hermans,Utrecht,2,0.312
F. Kroese,AZ,1,1.848
F. Meijer,Heerenveen,7,3.105
F. Prins,ADO Den Haag,0,2.232
F. Spaan,AZ,1,0.492
F. Stoit,Feyenoord,2,1.6640000000000001
F. van der Eijk,Excelsior,2,0.0
G. Caprino,AZ,9,4.095000000000001
G. Viehoff,ADO Den Haag,6,0.511
G. op den Kelder,Utrecht,10,2.884
H. Balkhir,Excelsior,4,0.24
H. Huizenga,PEC Zwolle,2,3.267
H. Stallmann,Heerenveen,1,0.076
H. Tanaka,HERA United,0,0.021
I. Colin,Ajax,12,6.039000000000001
I. Dostmohamed,Ajax,3,6.273000000000001
I. Gomez,Excelsior,0,0.742
I. Kaagman,Heerenveen,3,0.582
I. Kemper,PEC Zwolle,0,0.0
I. Kopp,HERA United,12,1.989
I. Nottet,HERA United,4,0.8580000000000001
I. Redouani,Excelsior,1,0.08
I. Weiman,PEC Zwolle,4,2.958
I. Zijp,PEC Zwolle,1,1.5480000000000003
I. van Dalen,NAC Breda,7,1.911
I. van der Vegt,Twente,3,0.308
J. Brandau,Feyenoord,6,4.24
J. Burgers,Excelsior,9,6.764
J. Dijsselhof,PEC Zwolle,6,3.42
J. Paliama,Utrecht,7,2.4840000000000004
J. Ravensbergen,Twente,0,0.5389999999999999
J. Resink,Heerenveen,0,0.167
J. Roord,Twente,2,3.348
J. Roosjen,PEC Zwolle,9,13.065000000000001
J. Schneijderberg,NAC Breda,5,0.737
J. Smits,Ajax,0,0.65
J. Verheijen,Excelsior,16,3.762
J. Visser,NAC Breda,0,0.004
J. Weimar,Feyenoord,0,0.28
J. van Belen,HERA United,1,0.806
J. van Hensbergen,Ajax,1,0.396
J. van Mierlo,ADO Den Haag,6,2.408
J. van Uden,AZ,3,0.124
J. van de Velde,Ajax,4,12.69
J. van den Ende,ADO Den Haag,5,1.2750000000000001
K. Hendriks,Excelsior,16,6.930000000000001
K. Hendriks,NAC Breda,3,0.676
K. Heshof,NAC Breda,9,0.693
K. Iwasaki,Feyenoord,6,1.9000000000000001
K. Koopman,Utrecht,4,0.896
K. Pruim,PEC Zwolle,3,0.132
K. Steen,HERA United,0,0.764
K. Thomas,AZ,4,1.5120000000000002
K. Woons,AZ,4,1.62
K. van de Westeringh,Feyenoord,1,0.066
L. Carleer,Twente,2,3.6720000000000006
L. Forshaw,HERA United,2,0.9690000000000001
L. Groenewegen,Twente,9,1.56
L. Haentjens,PSV,0,0.0
L. Iedema,PEC Zwolle,0,0.057
L. Jacobs,PSV,6,16.570999999999998
L. Keukelaar,Ajax,2,0.48
L. Loonen,Utrecht,0,2.1
L. Mahieu,Utrecht,6,1.0010000000000001
L. Rijsbergen,PSV,2,5.123
L. Strik,PSV,7,7.296
L. Venema,Heerenveen,2,0.135
L. Verhoef,NAC Breda,5,1.12
L. Vis,HERA United,0,1.7000000000000002
L. Vliek,Twente,2,3.3000000000000003
L. Vroegindeweij,ADO Den Haag,6,0.17200000000000001
L. de Keijzer,Utrecht,4,5.425000000000001
L. de With,Excelsior,1,0.0
L. van Oosten,Ajax,1,0.336
M. Bormans,Utrecht,5,3.232
M. Bross,PSV,11,5.7
M. Goutier,NAC Breda,1,0.007
M. Itamura,Feyenoord,4,2.574
M. Kemper-Moorrees,PSV,0,0.024
M. Lagcher,HERA United,2,0.45000000000000007
M. Lindner,PEC Zwolle,6,1.31
M. Munsterman,Utrecht,2,0.12
M. Rutgers,PEC Zwolle,8,1.428
M. Stoop,AZ,1,5.74
M. Westerink,Excelsior,16,11.638
M. de Vette,AZ,9,2.16
M. van Bentum,AZ,4,2.16
M. van Houwelingen,NAC Breda,4,1.488
M. van Koppen,Ajax,1,2.7880000000000003
N. Berrevoets,HERA United,11,1.4560000000000002
N. Booms,AZ,0,2.48
N. Evrard,PSV,0,1.59
N. Hilhorst,Excelsior,6,3.144
N. Mulder,ADO Den Haag,8,1.224
N. Nijstad,PSV,6,8.700000000000001
N. Stoop,HERA United,7,2.184
N. Tromp,Utrecht,5,4.452
N. Vrij,Excelsior,5,0.572
N. de Haan,NAC Breda,0,0.705
N. van den Burg,NAC Breda,1,0.036000000000000004
N. van der Sluijs,Feyenoord,5,2.7840000000000003
