Player,Team,Passes,Total_xT,xT
A. Ale,Leicester City,170,0.09778101,0.098
A. Beever-Jones,Chelsea,83,-0.20353343,-0.204
A. Csiki,West Ham United,10,-0.011358680000000005,-0.011
A. Dennis,Tottenham Hotspur,13,-0.04044713999999999,-0.04
A. Denton,West Ham United,155,0.52274939,0.523
A. Fujino,Manchester City,80,0.31664906,0.317
A. Greenwood,Manchester City,270,0.7350542099999999,0.735
A. Kennedy,London City Lionesses,85,0.26426584,0.264
A. Neville,Tottenham Hotspur,13,0.0536279,0.054
A. Nildén,Tottenham Hotspur,253,0.2626191,0.263
A. Patten,Aston Villa,97,0.23424848999999998,0.234
A. Russo,Arsenal,102,-0.51394973,-0.514
A. Sandberg,Manchester United,169,0.2059001,0.206
A. Thompson,Chelsea,85,0.041184739999999984,0.041
A. Tysiak,West Ham United,72,0.03472212999999999,0.035
A. Yamashita,Manchester City,105,0.27880501,0.279
B. England,Tottenham Hotspur,104,0.02100731999999999,0.021
B. Mead,Arsenal,98,0.40024490999999995,0.4
B. Olsson,Liverpool,9,-0.0351586,-0.035
B. Rayner,Brighton & Hove Albion,29,0.7016646999999999,0.702
C. Bizet,Manchester United,97,0.09182066000000001,0.092
C. Boureille,Leicester City,96,0.04422074999999999,0.044
C. Brosnan,Everton,114,0.09818473000000001,0.098
C. Brown,London City Lionesses,30,0.14157182,0.142
C. Foord,Arsenal,84,-0.08172528999999999,-0.082
C. Grant,Aston Villa,87,0.32186859,0.322
C. Grant,Tottenham Hotspur,34,0.13622877,0.136
C. Hayes,Brighton & Hove Albion,121,0.43277682,0.433
C. Holland,Liverpool,73,0.35380419,0.354
C. Hunt,Tottenham Hotspur,276,0.026104700000000022,0.026
C. Kapocs,Liverpool,79,0.0611295,0.061
C. Kelly,Arsenal,46,0.09916168999999997,0.099
C. Macário,Chelsea,98,0.22023354999999997,0.22
C. Nnadozie,Brighton & Hove Albion,124,0.5273677,0.527
C. Rule,Brighton & Hove Albion,180,1.17633233,1.176
C. Swaby,Leicester City,12,-0.0032178699999999994,-0.003
C. Tandberg,Tottenham Hotspur,61,-0.09790520999999999,-0.098
C. Wheeler,Everton,136,0.55997898,0.56
Carla Camacho,Brighton & Hove Albion,28,-0.07666973,-0.077
D. Janssen,Manchester United,224,0.10258532000000001,0.103
D. Spence,Tottenham Hotspur,133,0.42657941,0.427
D. van Domselaar,Arsenal,167,0.15860478,0.159
E. Carpenter,Chelsea,185,0.84940042,0.849
E. Cuthbert,Chelsea,139,0.41961639,0.42
E. Fox,Arsenal,308,1.77259299,1.773
E. Linari,London City Lionesses,162,0.17896246999999998,0.179
E. Nyström,West Ham United,206,0.6465755599999999,0.647
E. Ramsey,Everton,45,0.023791060000000003,0.024
E. Roebuck,Aston Villa,62,0.11348810000000001,0.113
E. Salmon,Aston Villa,41,0.34106748,0.341
E. Stenevik,Everton,107,-0.08609229,-0.086
E. Summanen,Tottenham Hotspur,176,0.25762608,0.258
E. Terland,Manchester United,42,-0.42640237,-0.426
E. Toone,Manchester United,251,0.9952872199999999,0.995
E. van Egmond,Leicester City,130,0.39233988,0.392
Elene Lete,London City Lionesses,178,0.33678708,0.337
F. Kirby,Brighton & Hove Albion,136,0.90140435,0.901
F. Kirby,Liverpool,95,0.11403452,0.114
F. Maanum,Arsenal,66,1.11091256,1.111
F. Morgan,West Ham United,45,0.29981357,0.3
F. Nagano,Liverpool,151,0.03900777999999997,0.039
F. Rolfö,Manchester United,119,0.004738060000000006,0.005
